source_title,source_author,source_year,ref_title,ref_author,ref_year,notes
The Catcher in the Rye,J.D. Salinger,1951,The Great Gatsby,F. Scott Fitzgerald,1925,"""I told him [D.B.] I liked ... The Great Gatsby... I was crazy about The Great Gatsby. Old Sport. That killed me."""
The Catcher in the Rye,J.D. Salinger,1951,Oliver Twist,Charles Dickens,1838,"""[In a movie he watches] He's carrying a copy of Oliver Twist and so's she. I could've puked."""
The Catcher in the Rye,J.D. Salinger,1951,David Copperfield,Charles Dickens,1850,"""If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield crap, but I don't feel like going into it, if you want to know the truth."""
The Catcher in the Rye,J.D. Salinger,1951,A Farewell to Arms,Ernest Hemingway,1929,"""What gets me about D.B., though, he hated the war so much, and yet he got me to read this book A Farewell to Arms last summer. He said it was terrific. That's what I don't understand."""
The Catcher in the Rye,J.D. Salinger,1951,Romeo and Juliet,William Shakespeare,1597,"""Well I'm not too crazy about Romeo and Juliet... I mean I like them... They get pretty annoying sometimes. I mean I felt much sorrier when old Mercutio got killed than when Romeo and Juliet did."""
The Catcher in the Rye,J.D. Salinger,1951,The Return of the Native,Thomas Hardy,1878,"""Take old Eustacia Vye... She wasn't too sexy or anything, but even so you can't help wondering what a nun maybe thinks about when she reads about old Eustacia."""
The Catcher in the Rye,J.D. Salinger,1951,Hamlet,William Shakespeare,1623,"""...I'll have to read that play... If an actor acts it out, I hardly listen. I keep worrying about whether he's going to do something phony every minute."""
Every Summer After,Carley Fortune,2022,Rosemary's Baby,Ira Levin,1967,A gift from Sam to Percy
Every Summer After,Carley Fortune,2022,Misery,Stephen King,1987,A gift from Sam to Percy
Every Summer After,Carley Fortune,2022,The Handmaid's Tale,Margaret Atwood,1985,A gift from Sam to Percy
Every Summer After,Carley Fortune,2022,Great Expectations,Charles Dickens,1861,"[Charlie:] ""I know you're bummed that Sam's gone, but you've been moping around like Miss Havisham."""
The Wedding People,Alison Espach,2024,Great Expectations,Charles Dickens,1861,"""But then Gary reaches out and makes a decision. He turns a book around just like she had. Great Expectations...She is surprised...Maybe Gary makes decisions like that all the time."""
The Wedding People,Alison Espach,2024,Jane Eyre,Charlotte Brontë,1847,"""Wrote a dissertation tracking each time Jane Eyre went on a walk in the Bronte's novel"" <br> ""Because Cinderella never would have been the center of the novel if her mother had lived. (Neither would Jane Eyre, she thought)"" <br> ""For ten years, Phoebe has been finishing her book on Jane Eyre."" <br> ""It is a lovely way to think about death. It's circular. And she always loved circular endings in literature, even if they were completely unrealistic. Probably why she was the only one in her Victorian literature class that liked the ending of Jane Eyre"" <br> ""Can't bear the thought of reading hundreds of pages just to watch Jane Eyre get married again"" <br> ""...she felt like she was just waiting for a critic to point out... Who cares how many times Jane Eyre goes walking? How can Stone claim the natural world is both a domestic space and a public space at the same time? And how does the freedom Eyre experiences on those waks with Rochester not contradict Stone's earlier claim that Jane is 'trapped in the unnatural world of a man's making'?"" <br> ""She rereads her wedding speech... it's terrible ... but as a literary analysis of the curious absense of weddings in Victorian marriage plots, it's not bad. She liked hte part about Jane Eyre getting married in under a sentence. And the paragraph about Jane's failed wedding being the only wedding that Bronte describes in actual detail... Why spend more time writing the failed wedding than the successful one?"" <br> ""... she downloads Jane Eyre on her phone. She tries to pinpoint the exact moment when the engagement became a trap; was it on the way to town after he proposed? Or did it start much earlier than that, long before Rochestor proposed?"""
The Wedding People,Alison Espach,2024,Mrs. Dalloway,Virginia Woolf,1925,
The Wedding People,Alison Espach,2024,Divine Comedy,Dante Alighieri,1321,"""And they had us write a paper on Dante's Inferno... but for years, I had nightmares about being stuck in his different versions of Hell... Like once I was running on a racetrack getting beaten with my own leg. Another time I was turned into the oak tree outside my fathers house and I bled every time my mother plucked one of my leaves."""
The Wedding People,Alison Espach,2024,Leaves of Grass,Walt Whitman,1855,"""She looked over her old lecture notes... She had always secretly thought those lines were bullshiit until that morning when she held up the gray blouse in front of the mirror...  Why bother?... Whitman was right. How lucky it would be to die, she thought - to just be the dirt. To just be a plant. To be made beautiful again by becoming part of the earth.""... ""Her student Sam who wants her to know that she didn't come to class today because her grandmother had a bloody nose and her bloody nose got all over Leaves of Grass..."""
The Wedding People,Alison Espach,2024,The Titan's Curse,Rick Riordan,2007,"[Oliver, a 12 year old child:] ""I've read all the Percy Jackson books... My favorite by far is the Titan's Curse. Have you read it?"""
The Wedding People,Alison Espach,2024,Pride and Prejudice,Jane Austen,1831,"""I wanted a big messy family... Like in Pride and Prejudice... It's one of those books that are about the big family, and what the big family is up to, and how the big family changes over time, and all the little ways the members of the big family irritate each other but also love each other."""
The Wedding People,Alison Espach,2024,Emma,Jane Austen,1815,"""BEvery night she watched her father... try to hook the same fish he'd fished for years and he never thought this was strange at all. But he looked at her reading Emma and said, ""Go outside, live a little."""
The Wedding People,Alison Espach,2024,Moby Dick,Herman Melville,1851,"[Gary:] ""... but I have a feeling my tiem might have been better spent actually finishing Moby-Dick"" [Phoebe:] ""It's ship porn! The total fantasy of being a man on a ship, having a wild adventure. B"""
The Wedding People,Alison Espach,2024,The House of Mirth,Edith Wharton,1905,A 'decorative' book on the hotel bookshelf that Phoebe turns around to expose its spine.
The Wedding People,Alison Espach,2024,The Adventures of Huckleberry Finn,Mark Twain,1884,A 'decorative' book on the hotel bookshelf that Phoebe turns around to expose its spine.
The Wedding People,Alison Espach,2024,Hamlet,William Shakespeare,1623,"[About a dead pet] ""Goodbye Harry. She hears it inside her head like the final lines of Ophelia in Hamlet: Goodbye Harry. Goodbye daughter. Goodbye mother. Goodbye father. Goodbye husband. Goodbye, goodbye."""
The Wedding People,Alison Espach,2024,How to Be Your Own Best Friend,"Mildred Newman, Bernard Berkowitz, Jean Owen",1971,A book on PLila's mother's nightstand.
The Wedding People,Alison Espach,2024,We Die Alone,David Howarth,1955,A book on Lila's mother's nightstand.
